uniprot_id,protein_name,organism,classification,n_entries,pdb_codes
Q16790,CARBONIC ANHYDRASE 9,Homo sapiens,LYASE,7,"5fl4,5fl5,5fl6,6fe0,6fe1,6g98,6g9u"
P29373,PROTEIN (CRABP-II),Homo sapiens,TRANSPORT PROTEIN,7,"2cbs,2fr3,2g78,2g79,3cbs,3cwk,5ogb"
P35963,POL polyprotein,Human immunodeficiency virus 1,HYDROLASE,7,"1k6c,1k6p,1k6t,1k6v,1t7j,4a6b,4a6c"
O94925,"Glutaminase kidney isoform, mitochondrial",Homo sapiens,HYDROLASE/HYDROLASE INHIBITOR,7,"3uo9,3voz,3vp1,5fi2,5fi7,5jyo,5wj6"
P0AES6,GYRASE,Escherichia coli,TOPOISOMERASE,7,"1aj6,1kzn,4duh,6f86,6f8j,6f94,6f96"
P04637,CELLULAR TUMOR ANTIGEN P53,Homo sapiens,CELL CYCLE,7,"4agq,5ab9,5o1i,6ggb,6ggd,6gge,6ggf"
Q8DP79,Peptide deformylase,Streptococcus pneumoniae,HYDROLASE,7,"2ai7,2aia,2aie,3svj,4eox,6ow2,6ow7"
P23470,Receptor-type tyrosine-protein phosphatase gamma,Homo sapiens,HYDROLASE/HYDROLASE INHIBITOR,7,"3qce,3qcf,3qch,3qci,3qcj,3qck,3qcl"
P9WK17,Malate synthase G,Mycobacterium tuberculosis,TRANSFERASE/TRANSFERASE INHIBITOR,7,"3s9i,3s9z,3sad,3saz,3sb0,5drc,5ecv"
P04584,HIV-2 PROTEASE,Human immunodeficiency virus 2,HYDROLASE/HYDROLASE INHIBITOR,7,"1hii,1hsh,1idb,1ivp,1jld,5upj,6upj"
P9WID5,Adenosine kinase,Mycobacterium tuberculosis,Transferase/Transferase inhibitor,7,"4pvv,6c67,6c9p,6c9q,6c9r,6c9s,6c9v"
Q86U86,Protein polybromo-1,Homo sapiens,TRANSCRIPTION,7,"5fh6,5fh7,5fh8,5hrv,5hrw,5hrx,5ii1"
Q14145,Kelch-like ECH-associated protein 1,Homo sapiens,LIGASE,7,"2flu,4l7b,4l7c,4l7d,4xmb,5x54,6uf0"
Q96KQ7,"Histone-lysine N-methyltransferase, H3 lysine-9 specific 3",Homo sapiens,TRANSFERASE,7,"3k5k,4nvq,5jin,5jiy,5ttf,5vsc,5vse"
P9WIL5,Purine Nucleoside Phosphorylase,Mycobacterium tuberculosis,TRANSFERASE,7,"1n3i,3cow,3coy,3coz,3iue,3ivx,3le8"
P04278,SEX HORMONE-BINDING GLOBULIN,Homo sapiens,TRANSPORT PROTEIN,7,"1d2s,1kdk,1lhu,1lhv,1lhw,6pya,6pyb"
P43235,Cathepsin K,Homo sapiens,HYDROLASE,7,"1vsn,3kw9,3kwb,3kwz,3kx1,4x6i,6hgy"
P17707,S-ADENOSYLMETHIONINE DECARBOXYLASE ALPHA CHAIN,Homo sapiens,LYASE,7,"1i72,1i7c,1i7m,3dz4,3dz5,3dz6,3h0w"
Q9GK12,Peptidoglycan recognition protein 1,Camelus dromedarius,IMMUNE SYSTEM,7,"3ng4,3nw3,3o4k,3rt4,3uil,3usx,4fnn"
P42336,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Homo sapiens,TRANSFERASE/TRANSFERASE INHIBITOR,7,"4jps,4l23,4waf,5dxt,5uk8,6gvf,6pys"
O96013,SERINE/THREONINE-PROTEIN KINASE PAK 4,Homo sapiens,TRANSFERASE,7,"2x4z,4app,4o0x,4o0y,5vee,5xva,5xvg"
P0ABE7,"Soluble cytochrome b562, Delta-type opioid receptor chimeric protein",Escherichia coli,SIGNALING PROTEIN,7,"4n6h,5iu4,5iu7,5iu8,5iua,5iub,6rz6"
Q9R1E6,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,Mus musculus,HYDROLASE/HYDROLASE INHIBITOR,7,"3wav,3waw,3wax,3way,5inh,5ohi,5olb"
Q03111,Protein ENL,Homo sapiens,TRANSCRIPTION,6,"6hpw,6ht1,6t1i,6t1m,6t1n,6t1o"
Q92769,Histone deacetylase 2,Homo sapiens,HYDROLASE,6,"3max,4lxz,4ly1,5iwg,5ix0,6g3o"
P07435,ODORANT-BINDING PROTEIN,Bos taurus,PROTEIN BINDING,6,"1g85,1gt1,1gt3,1gt4,1gt5,1hn2"
Q00955,ACETYL-COENZYME A CARBOXYLASE,Saccharomyces cerevisiae,LIGASE,6,"1w96,3h0q,3h0s,4wz8,5ctb,5cte"
Q52012,"ABC transporter, substrate binding protein (Agrocinopines A and B)",Agrobacterium fabrum str. C58,TRANSPORT PROTEIN,6,"4ra1,4zeb,4zec,4zed,4zei,4zek"
Q03181,PROTEIN (PEROXISOME PROLIFERATOR ACTIVATED RECEPTOR (PPAR-DELTA)),Homo sapiens,TRANSCRIPTION REGULATION,6,"3gwx,3gz9,3peq,3tkm,5xmx,5zxi"
P0A884,THYMIDYLATE SYNTHASE,Escherichia coli,TRANSFERASE,6,"1f4g,1jg0,1jtq,1tys,2kce,6nnr"
Q9FD73,Mevalonate diphosphate decarboxylase,Staphylococcus epidermidis,LYASE/LYASE INHIBITOR,6,"3qt6,3qt7,4dpt,4dpu,4dpy,4du8"
Q9WVG6,Histone-arginine methyltransferase CARM1,Mus musculus,TRANSFERASE,6,"5k8v,5lgp,5lgq,5lgr,5lgs,5tbj"
P9WK19,Methionine aminopeptidase,Mycobacterium tuberculosis,HYDROLASE,6,"3iu8,3iu9,3pka,3pkb,3pkc,3pkd"
P9WKE1,THYMIDYLATE KINASE TMK,Mycobacterium tuberculosis,TRANSFERASE,6,"1w2h,4unn,4unq,4unr,4uns,5nr7"
P0DMV8,Heat shock 70 kDa protein 1A/1B,Homo sapiens,CHAPERONE,6,"3atu,3atv,3ay9,5aqz,5ar0,6fhk"
P9WFX5,Anthranilate phosphoribosyltransferase,Mycobacterium tuberculosis,Transferase/Transferase Inhibitor,6,"3qqs,3uu1,4giu,4gkm,4ij1,4m0r"
Q00972,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",Rattus norvegicus,TRANSFERASE/TRANSFERASE INHIBITOR,6,"3tz0,3tz4,4dzy,4h7q,4h81,4h85"
P0A0K8,DNA gyrase subunit B,Staphylococcus aureus,ISOMERASE/ISOMERASE INHIBITOR,6,"3ttz,3u2k,5d6p,5d6q,5d7c,5d7r"
Q9NZJ5,Eukaryotic translation initiation factor 2-alpha kinase 3,Homo sapiens,TRANSFERASE/TRANSFERASE INHIBITOR,6,"4g31,4x7h,4x7j,4x7k,4x7l,4x7n"
O67854,Transporter,Aquifex aeolicus,TRANSPORT PROTEIN,6,"3f3c,3f3d,3f3e,3f48,3gjd,4mme"
P09211,GLUTATHIONE S-TRANSFERASE P1-1,Homo sapiens,TRANSFERASE,6,"10gs,11gs,3gss,3gus,3hjo,3ie3"
P10721,Homo sapiens v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,Homo sapiens,TRANSFERASE ACTIVATOR,6,"1t46,3g0e,4hvs,4u0i,6kla,6mob"
Q6DE08,SERINE/THREONINE-PROTEIN KINASE 12-A,Xenopus laevis,TRANSFERASE,6,"2vgo,2vgp,2vrx,3ztx,4c2v,5eyk"
Q13231,CHITOTRIOSIDASE-1,Homo sapiens,HYDROLASE,6,"1hkk,1waw,1wb0,5nr8,5nra,5nrf"
P10828,Thyroid hormone receptor beta-1,Homo sapiens,HORMONE/GROWTH FACTOR RECEPTOR,6,"1n46,1nq0,1xzx,2j4a,3gws,3jzc"
P49610,BETA-N-ACETYLHEXOSAMINIDASE,Streptococcus pneumoniae TIGR4,HYDROLASE,6,"4az5,4az6,4azb,4azc,4azg,4azi"
P00929,TRYPTOPHAN SYNTHASE (ALPHA CHAIN),Salmonella enterica subsp. enterica serovar Typhimurium,LYASE,6,"1a50,1c29,1c8v,1c9d,1cw2,1cx9"
P46925,Plasmepsin 2,Plasmodium falciparum,HYDROLASE,6,"1lee,1lf2,1w6h,2igx,4cku,4y6m"
P04746,Alpha-amylase,Homo sapiens,HYDROLASE,6,"1xd0,3old,3ole,3olg,3oli,5kez"
Q13490,Baculoviral IAP repeat-containing protein 2,Homo sapiens,APOPTOSIS INHIBITOR,6,"4hy4,4hy5,4lge,4lgu,4mti,4mu7"
P23443,Ribosomal protein S6 kinase beta-1,Homo sapiens,TRANSFERASE/TRANSFERASE INHIBITOR,6,"3we4,3wf5,3wf6,3wf7,3wf8,3wf9"
P23946,Chymase,Homo sapiens,HYDROLASE,6,"1t31,3n7o,3s0n,4k69,5yjm,5yjp"
Q99AU2,RNA-directed RNA polymerase,Hepacivirus hominis,TRANSFERASE,6,"2d3u,2d3z,2d41,2fvc,2gc8,3hhk"
P04190,Beta-lactamase 2,Bacillus cereus,HYDROLASE,6,"4tyt,5fqb,5jmx,6eum,6ewe,6f2n"
Q9L5C8,Beta-lactamase,Escherichia coli,Hydrolase/hydrolase inhibitor,6,"4dds,4ddy,4de0,4de1,4de3,4len"
P04150,GLUCOCORTICOID RECEPTOR,Homo sapiens,Hormone receptor,6,"1nhz,3k22,4csj,4lsj,4p6w,4p6x"
Q86X55,HISTONE-ARGININE METHYLTRANSFERASE CARM1,Homo sapiens,TRANSFERASE,6,"2y1w,2y1x,5u4x,6arj,6arv,6izq"
P26664,polyprotein,Hepacivirus hominis,HYDROLASE,6,"2gvf,3eyd,3hkw,3su4,5voj,5vp9"
Q86C09,Farnesyl pyrophosphate synthase,Trypanosoma brucei,TRANSFERASE,6,"2i19,2p1c,3egt,4rxd,4rxe,5afx"
Q81R22,Dihydrofolate reductase,Bacillus anthracis str. Sterne,OXIDOREDUCTASE,6,"2qk8,3fl8,4ele,4elf,4elg,4elh"
P31016,Disks large homolog 4,Rattus norvegicus,PEPTIDE BINDING PROTEIN,6,"5heb,5hey,5hf1,5hfc,5hff,5ypo"
Q7SSI0,Protease,Human immunodeficiency virus 1,HYDROLASE/HYDROLASE INHIBITOR,6,"3s43,3s53,3s54,3s56,4kb9,6otg"
Q8I0P1,Spastin,Drosophila melanogaster,ISOMERASE/ISOMERASE INHIBITOR,6,"6nyv,6nyw,6p10,6p11,6p12,6p14"
P49759,Dual specificity protein kinase CLK1,Homo sapiens,TRANSFERASE,6,"5j1w,5x8i,6ft8,6ft9,6i5i,6q8k"
Q8NFU5,"Inositol polyphosphate multikinase,Inositol polyphosphate multikinase",Homo sapiens,TRANSFERASE/TRANSFERASE Inhibitor,6,"6m88,6m89,6m8a,6m8b,6m8c,6m8d"
P10844,BOTULINUM NEUROTOXIN TYPE B,Clostridium botulinum,HYDROLASE,6,"1g9a,1g9b,1g9c,1g9d,1i1e,2nm1"
Q06135,"1,3-beta-glucanosyltransferase GAS2",Saccharomyces cerevisiae S288C,TRANSFERASE,6,"5o9p,5o9q,5o9r,5o9y,5oa2,5oa6"
O15294,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,Homo sapiens,transferase/peptide,6,"4gz3,5nps,6ma2,6ma3,6ma4,6ma5"
P17752,Tryptophan 5-hydroxylase 1,Homo sapiens,OXIDOREDUCTASE,6,"3hf6,3hf8,3hfb,5j6d,5l01,5tpg"
P14555,HUMAN PHOSPHOLIPASE A2,Homo sapiens,HYDROLASE,6,"1db4,1j1a,1kvo,3u8d,3u8h,5g3n"
P53355,DEATH-ASSOCIATED PROTEIN KINASE 1,Homo sapiens,TRANSFERASE,6,"2yak,4txc,5aut,5auw,5aux,5auy"
P00740,Coagulation factor IX,Homo sapiens,Hydrolase/Hydrolase Inhibitor,6,"3lc3,4yzu,4z0k,4zae,5egm,5tnt"
P56221,SCYTALONE DEHYDRATASE,Pyricularia grisea,LYASE,6,"2std,3std,4std,5std,6std,7std"
P08473,NEUTRAL ENDOPEPTIDASE,Homo sapiens,HYDROLASE,5,"1dmt,1r1h,1r1j,2qpj,2yb9"
Q96CA5,Baculoviral IAP repeat-containing protein 7,Homo sapiens,INHIBITOR/APOPTOSIS,5,"2i3h,2i3i,3f7g,3f7h,3f7i"
P04117,ADIPOCYTE LIPID-BINDING PROTEIN,Mus musculus,LIPID BINDING PROTEIN,5,"1adl,1g74,2ans,2qm9,3hk1"
Q99814,Endothelial PAS domain-containing protein 1,Homo sapiens,TRANSCRIPTION,5,"4ghi,4gs9,4xt2,5tbm,5ufp"
Q9C0B1,Alpha-ketoglutarate-dependent dioxygenase FTO,Homo sapiens,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR,5,"4ie4,4ie6,4zs2,4zs3,6akw"
Q0PC20,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,Campylobacter jejuni,"HYDROLASE, TRANSFERASE",5,"6ayo,6ayq,6ayr,6ays,6ayt"
Q01064,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B",Homo sapiens,HYDROLASE/HYDROLASE INHIBITOR,5,"4npv,5b25,5uoy,5up0,5w6e"
P00524,PP60 V-SRC TYROSINE KINASE TRANSFORMING PROTEIN,Rous sarcoma virus,TRANSFORMING PROTEIN,5,"1bkm,1is0,1nzl,1nzv,1skj"
Q06GJ0,N-acetylglucosaminidase,Ostrinia furnacalis,HYDROLASE,5,"3nsn,3ozp,3s6t,3vtr,3wmc"
Q14451,Growth factor receptor-bound protein 7,Homo sapiens,Signaling Protein/Peptide,5,"5eel,5eeq,5tyi,5u06,5u1q"
P02701,CIRCULAR PERMUTANT OF AVIDIN,Gallus gallus,BIOTIN-BINDING PROTEIN,5,"2jgs,4i60,4jhq,5chk,5hlm"
Q2G0Q5,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,Staphylococcus aureus,TRANSFERASE/TRANSFERASE inhibitor,5,"5etq,5etr,5ets,5ett,5etv"
Q9Y6F1,Poly(ADP-ribose) polymerase 3,Homo sapiens,TRANSFERASE,5,"3c4h,3fhb,4l70,4l7l,4l7r"
Q0ED31,clade A/E 93TH057 HIV-1 gp120 core,Human immunodeficiency virus type 1 (BRU ISOLATE),VIRAL PROTEIN/INHIBITOR,5,"4dko,4dkp,4dkq,4dkr,4i54"
Q01693,AMINOPEPTIDASE,Vibrio proteolyticus,AMINOPEPTIDASE,5,"1ft7,1igb,1txr,3b7i,3vh9"
Q9BV86,N-terminal Xaa-Pro-Lys N-methyltransferase 1,Homo sapiens,TRANSFERASE/PEPTIDE,5,"5cvd,5e1d,5e1m,5e1o,6dtn"
P01011,Alpha-1-antichymotrypsin,Homo sapiens,TRANSPORT PROTEIN,5,"5om7,6ftp,6hgf,6hgg,6hgi"
O95819,Mitogen-activated protein kinase kinase kinase kinase 4,Homo sapiens,transferase/transferase inhibitor,5,"4obo,4obp,4obq,4rvt,4u44"
P08238,HEAT SHOCK PROTEIN HSP 90-BETA,Homo sapiens,CHAPERONE,5,"1uym,3nmq,5uc4,5ucj,6n8y"
Q48935,Acetylpolyamine aminohydrolase,Mycoplana ramosa,Hydrolase/Hydrolase inhibitor,5,"4zum,4zuo,4zup,4zuq,4zur"
Q0P8Q4,ENTEROCHELIN UPTAKE PERIPLASMIC BINDING PROTEIN,Campylobacter jejuni,TRANSPORT PROTEIN,5,"5a5v,5ad1,5oah,5od5,5tcy"
P00352,Retinal dehydrogenase 1,Homo sapiens,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR,5,"4wp7,4wpn,5l2m,5l2n,5l2o"
P07986,"BETA-1,4-XYLANASE",Cellulomonas fimi,HYDROLASE,5,"1fh7,1fh8,1fh9,1fhd,1j01"
Q9Z2X8,KELCH-LIKE ECH-ASSOCIATED PROTEIN 1,Mus musculus,TRANSCRIPTION,5,"5fns,5fnt,5fnu,6qmj,6qmk"
P04818,THYMIDYLATE SYNTHASE,Homo sapiens,TRANSFERASE,5,"1hvy,1i00,3n5e,4e28,4fgt"
Q02750,Dual specificity mitogen-activated protein kinase kinase 1,Homo sapiens,TRANSFERASE,5,"3e8n,3zm4,4an2,4an3,4anb"
Q13164,Mitogen-activated protein kinase 7,Homo sapiens,TRANSFERASE,5,"4zsj,5byz,5o7i,6hkm,6hkn"
Q13126,5'-Deoxy-5'-Methylthioadenosine Phosphorylase,Homo sapiens,TRANSFERASE,5,"1k27,6dyz,6dz0,6dz2,6dz3"
P05132,"cAMP-dependent protein kinase, alpha-catalytic subunit",Mus musculus,TRANSFERASE,5,"1re8,1rej,1rek,2erz,3ow3"
A0A0M3KL20,Alpha-carbonic anhydrase,Helicobacter pylori 26695,LYASE,5,"4ygf,4yha,5tt3,5tt8,5tuo"
Q9NZK7,Group IIE secretory phospholipase A2,Homo sapiens,HYDROLASE/INHIBITOR,5,"5wzs,5wzt,5wzu,5wzv,5wzw"
P09237,MATRILYSIN,Homo sapiens,METALLOPROTEASE,5,"1mmp,1mmq,1mmr,2y6c,2y6d"
Q9I194,Acyl-homoserine lactone acylase PvdQ subunit beta,Pseudomonas aeruginosa,HYDROLASE,5,"4k2f,4k2g,4m1j,4wku,4wkv"
Q8AAK6,BETA-MANNOSIDASE,Bacteroides thetaiotaomicron VPI-5482,HYDROLASE,5,"2vl4,2vmf,2vot,2vqt,2vr4"
O00625,Pirin,Homo sapiens,METAL BINDING PROTEIN,5,"3acl,6h1h,6h1i,6n0j,6n0k"
Q6DRA1,ADC-7 beta-lactamase,Acinetobacter baumannii,Hydrolase/Hydrolase inhibitor,5,"4u0x,5w12,5w13,5w14,5wad"
Q8I4W8,MYOSIN A TAIL DOMAIN INTERACTING PROTEIN,Plasmodium falciparum,MEMBRANE PROTEIN/MOTOR PROTEIN,5,"4aom,4mzj,4mzk,4mzl,4r1e"
Q8I6V3,Plasmepsin II,Plasmodium falciparum 3D7,HYDROLASE,5,"5yia,5yib,5yic,5yid,5yie"
Q00535,CYCLIN-DEPENDENT KINASE 5,Homo sapiens,CELL CYCLE,5,"1ung,1unh,1unl,3o0g,4au8"
Q8II92,DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE,Plasmodium falciparum 3D7,HYDROLASE,5,"1vyq,2y8c,3t60,3t64,3t70"
P49356,protein farnesyltransferase beta subunit,Homo sapiens,TRANSFERASE,5,"1ld7,1ld8,1mzc,1s63,3e37"
P15917,Lethal factor,Bacillus anthracis,HYDROLASE,5,"1yqy,4dv8,4pkv,5d1s,5d1t"
O26232,orotidine 5'-monophosphate decarboxylase,Methanothermobacter thermautotrophicus str. Delta H,LYASE,5,"1lol,1lor,1los,1x1z,2zz6"
Q8IXJ6,NAD-dependent protein deacetylase sirtuin-2,Homo sapiens,HYDROLASE,5,"5dy5,5mat,5y0z,5y5n,5yqo"
P55212,Caspase-6,Homo sapiens,HYDROLASE/HYDROLASE INHIBITOR,5,"4hva,4n6g,4n7j,4n7m,4nbl"
B0SWV2,"MANNOSYL-OLIGOSACCHARIDE 1,2-ALPHA-MANNOSIDASE",Caulobacter sp. K31,HYDROLASE,5,"4ayp,4ayq,4ayr,5meh,5ne5"
P63086,Mitogen-activated protein kinase 1,Rattus norvegicus,TRANSFERASE/TRANSFERASE INHIBITOR,5,"4n4s,4qyy,5ke0,6cpw,6dcg"
P22303,Acetylcholinesterase,Homo sapiens,hydrolase/hydrolase inhibitor,5,"4m0e,4m0f,6o4w,6o4x,6o50"
P43889,Bifunctional protein GlmU,Haemophilus influenzae Rd KW20,TRANSFERASE/TRANSFERASE INHIBITOR,5,"4e1k,4knr,4knx,4kpx,4kql"
Q5RZ08,Protease,Human immunodeficiency virus 1,HYDROLASE/HYDROLASE inhibitor,5,"6cdj,6cdl,6ixd,6u7o,6u7p"
Q81VW8,Dihydropteroate synthase,Bacillus anthracis str. A2012,Transferase/Transferase Inhibitor,5,"3h22,4d8z,4daf,4dai,4db7"
P31335,Bifunctional purine biosynthesis protein PURH,Gallus gallus,"TRANSFERASE, HYDROLASE",5,"1m9n,1oz0,1thz,2b1g,2b1i"
F0TRT1,Polymerase PA,Influenza A virus (A/Lima/WRAIR1695P/2009(H1N1)),RNA BINDING PROTEIN/INHIBITOR,5,"4kil,4ln7,4m4q,4m5o,4m5u"
P30822,Exportin-1,Saccharomyces cerevisiae S288C,TRANSPORT PROTEIN,5,"5dhf,5dif,5uwi,5uwj,5uwp"
D9J2T9,rRNA N-glycosidase,Momordica balsamina,HYDROLASE,5,"4emf,4emr,5cso,5cst,5y48"
P29320,EPH receptor A3,Homo sapiens,TRANSFERASE/TRANSFERASE INHIBITOR,5,"4g2f,4gk2,4gk3,4gk4,4p5z"
P41148,Endoplasmin,Canis lupus familiaris,CHAPERONE,5,"2gfd,2o1v,6cyi,6d1x,6d28"
Q6WVP6,Arginase,Schistosoma mansoni,HYDROLASE/HYDROLASE INHIBITOR,5,"4q3q,4q3r,4q3s,4q3t,4q3u"
P23687,PROTEIN (PROLYL OLIGOPEPTIDASE),Sus scrofa,HYDROLASE,5,"1qfs,3eq9,4bcb,4bcc,4bcd"
P26514,"ENDO-1,4-BETA-XYLANASE A",Streptomyces lividans,HYDROLASE/LECTIN,5,"1od8,1v0k,1v0l,1v0m,1v0n"
P26446,POLY(ADP-RIBOSE) POLYMERASE,Gallus gallus,TRANSFERASE,5,"1efy,2pax,3pax,6i8m,6i8t"
P25779,Cruzipain,Trypanosoma cruzi,HYDROLASE,5,"2oz2,3hd3,3iut,3kku,3lxs"
P42574,Caspase-3,Homo sapiens,"Hydrolase, Apoptosis",5,"3deh,3dek,3h0e,4jje,4pry"
P25054,Adenomatous polyposis coli protein,Homo sapiens,CELL ADHESION/PROTEIN BINDING,5,"4yjl,4yk6,5b6g,5iz6,5iza"
P43166,Carbonic anhydrase 7,Homo sapiens,LYASE,5,"3mdz,3ml5,6h36,6h37,6h38"
Q9UNA0,protein ADAMTS-5,Homo sapiens,HYDROLASE,5,"3b8z,3hy7,3hy9,3hyg,3ljt"
P52700,Metallo-beta-lactamase L1,Stenotrophomonas maltophilia,HYDROLASE,5,"2qdt,5evb,5evd,5hh5,5hh6"
I6X8D2,Polyketide synthase Pks13 (Termination polyketide synthase),Mycobacterium tuberculosis,TRANSFERASE/TRANSFERASE INHIBITOR,5,"5v3x,5v3y,5v40,5v41,5v42"
P0DP23,CALMODULIN,Homo sapiens,CALCIUM-BINDING PROTEIN,5,"1ctr,2w73,5nin,6eeb,6o5g"
Q9FUZ2,Peptide deformylase 1B,Arabidopsis thaliana,HYDROLASE/ANTIBIOTIC,5,"3m6p,3m6q,3m6r,3pn3,3pn4"
P0A6Y8,Chaperone protein DnaK,Escherichia coli K-12,CHAPERONE,5,"4ezr,4ezx,4ezz,4jn4,4jne"
P0AF12,MTA/SAH nucleosidase,Escherichia coli,HYDROLASE,5,"1nc1,1nc3,1y6q,1y6r,4yml"
Q9WUL6,NF-kappa-beta-inducing kinase,Mus musculus,TRANSFERASE/TRANSFERASE INHIBITOR,5,"4g3e,4g3f,4g3g,5t8o,5t8p"
Q9WMX2,RNA-directed RNA polymerase,Hepatitis C virus (isolate Con1),TRANSFERASE,5,"3fql,3q0z,5pzn,5tri,5trk"
O75936,GAMMA-BUTYROBETAINE DIOXYGENASE,Homo sapiens,OXIDOREDUCTASE,5,"4bg1,4bgk,4bgm,4bhi,4c5w"
Q9WYE2,"Alpha-L-fucosidase, putative",Thermotoga maritima,HYDROLASE,5,"2zwz,2zx6,2zx7,2zx8,2zxd"
P0A6D3,EPSP SYNTHASE,Escherichia coli,TRANSFERASE,5,"1g6s,1x8r,1x8t,2pq9,2qft"
P0C6X7,Replicase polyprotein 1ab,Severe acute respiratory syndrome-related coronavirus,HYDROLASE,5,"2v6n,2vj1,2xyr,2z94,3r24"
Q9H7Z6,Histone acetyltransferase KAT8,Homo sapiens,TRANSFERASE/TRANSFERASE INHIBITOR,5,"6oin,6oio,6oip,6oiq,6oir"
P9WIL4,Pantothenate synthetase,Mycobacterium tuberculosis,ligase/ligase inhibitor,5,"4mq6,4mue,4muf,4muk,4mul"
P11021,"Heat shock 70kDa protein 5 (Glucose-regulated protein, 78kDa)",Homo sapiens,CHAPERONE,5,"3iuc,3ldp,5evz,5exw,5f1x"
P09455,Retinol-binding protein 1,Homo sapiens,RETINOL-BINDING PROTEIN,5,"5ha1,5hbs,6e5l,6e5t,6e6m"
O43175,D-3-phosphoglycerate dehydrogenase,Homo sapiens,OXIDOREDUCTASE,5,"6plf,6rj2,6rj3,6rj5,6rj6"
O43314,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2,Homo sapiens,TRANSFERASE/TRANSFERASE INHIBITOR,5,"4hn2,4nzm,4nzn,4nzo,6n5c"
Q16658,Fascin,Homo sapiens,STRUCTURAL PROTEIN,4,"6i12,6i13,6i14,6i17"
Q14149,MORC family CW-type zinc finger protein 3,Homo sapiens,METAL BINDING PROTEIN,4,"4qq4,5svi,5svx,5svy"
Q13882,Protein-tyrosine kinase 6,Homo sapiens,TRANSFERASE/TRANSFERASE INHIBITOR,4,"5da3,5h2u,6cz3,6cz4"
Q13946,"High-affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A",Homo sapiens,HYDROLASE,4,"1zkl,3g3n,4pm0,4y2b"
Q873X9,CHITINASE,Aspergillus fumigatus,HYDROLASE/HYDROLASE INHIBITOR,4,"1w9u,2iuz,3che,3chf"
P24735,Beta-lactamase,Pseudomonas aeruginosa,Hydrolase/Hydrolase Inhibitor,4,"3s1y,3s22,4nk3,4x68"
P0A8M3,Threonine--tRNA ligase,Escherichia coli K-12,Ligase/Ligase Inhibitor,4,"4hwo,4hwp,4hwr,4hws"
P42575,Caspase-2 subunit p18,Homo sapiens,HYDROLASE/HYDROLASE INHIBITOR,4,"3r5j,3r6g,3r7b,3r7n"
P0A7D4,ADENYLOSUCCINATE SYNTHETASE,Escherichia coli,LIGASE,4,"1ch8,1juy,1qf4,1qf5"
P04062,Glucosylceramidase,Homo sapiens,HYDROLASE,4,"2nsx,2v3e,2wcg,2xwe"
Q28175,Retinoid isomerohydrolase,Bos taurus,ISOMERASE,4,"4rsc,4rse,5ul5,5ulg"
Q16288,NT-3 growth factor receptor,Homo sapiens,TRANSFERASE/TRANSFERASE INHIBITOR,4,"3v5q,4ymj,6kzc,6kzd"
P42262,Glutamate receptor 2,Homo sapiens,TRANSPORT PROTEIN/ANTAGONIST,4,"3ua8,5zg0,5zg1,5zg3"
P0A6R0,3-oxoacyl-[acyl-carrier-protein] synthase III,Escherichia coli,TRANSFERASE,4,"1mzs,4z8d,5bnr,5bns"
P33316,Deoxyuridine 5'-triphosphate nucleotidohydrolase,Homo sapiens,HYDROLASE,4,"2hqu,3ara,3arn,5h4j"
Q7CX36,"ABC transporter, substrate binding protein (Amino acid)",Agrobacterium fabrum str. C58,TRANSPORT PROTEIN,4,"3ip5,3ip6,3ip9,3ipa"
P9WQD9,3-oxoacyl-[acyl-carrier-protein] synthase 1,Mycobacterium tuberculosis H37Rv,TRANSFERASE,4,"5ld8,5w2p,5w2q,5w2s"
Q13546,Receptor-interacting serine/threonine-protein kinase 1,Homo sapiens,TRANSFERASE/TRANSFERASE INHIBITOR,4,"4ith,4itj,5hx6,6nyh"
P40261,Nicotinamide N-methyltransferase,Homo sapiens,TRANSFERASE,4,"5yjf,6chh,6orr,6pve"
P9WNP1,Probable enoyl-CoA hydratase echA6,Mycobacterium tuberculosis,LIPID BINDING PROTEIN,4,"5dtw,5du4,5du8,5duf"
Q92630,Dual specificity tyrosine-phosphorylation-regulated kinase 2,Homo sapiens,TRANSFERASE,4,"3kvw,5lxc,5ztn,6k0j"
P35439,N-methyl-D-aspartate Receptor Subunit 1,Rattus norvegicus,LIGAND BINDING PROTEIN,4,"1pb8,1pbq,1y20,4kfq"
P9WPC9,Probable ATP-dependent Clp protease ATP-binding subunit,Mycobacterium tuberculosis,Chaperone/Antimicrobial protein,4,"3wdc,3wdd,3wde,6cn8"
